Category,Subcategory1,Subcategory2,Subcategory3
ELECTRONICS,BATTERIES,,
ELECTRONICS,CARBON AND GRAPHITE ITEMS,,
ELECTRONICS,CONNECTORS,,
ELECTRONICS,GENERAL COMPONENTS,,
ELECTRONICS,MISC EQUIPMENT,,
ELECTRONICS,PCB ASSEMBLY,,
ELECTRONICS,PCBS,,
ELECTRONICS,SEMICONDUCTOR COMPONENTS,,
ELECTRONICS,WIRE AND CABLE,FIBER OPTIC CABLE,
ELECTRONICS,WIRING DEVICES,,
FACILITIES,EQUIPMENT RENTAL,,
FACILITIES,FACILITIES MANAGEMENT,,
FACILITIES,FORKLIFTS/MHE,,
FACILITIES,JANITORIAL SERVICES,,
FACILITIES,LANDSCAPING/SNOW REMOVAL,,
FACILITIES,ADDITIONAL FACILITIES,,
FACILITIES,ADDITIONAL ITEM RENTAL,,
FACILITIES,PEST CONTROL,,
FACILITIES,SECURITY,SECURITY GUARDS,
FACILITIES,SECURITY,SECURITY SYSTEMS,
FACILITIES,UNIFORMS/MATS/FIRE/FA&S,,
FACILITIES,UTILITIES,NATURAL GAS/ELECTRICITY,
FACILITIES,UTILITIES,OTHER UTILITIES,
FACILITIES,UTILITIES,WATER,
FACILITIES,VENDING SERVICES,,
FACILITIES,WASTE SERVICES,DOCUMENT MANAGEMENT/SHREDDING,
FACILITIES,WASTE SERVICES,HAZARDOUS WASTE,
FACILITIES,WASTE SERVICES,NONHAZARDOUS WASTE,
FACILITIES,WASTE SERVICES,OTHER WASTE SERVICES,
FACILITIES,WASTE SERVICES,REMEDIATION,
FACILITIES,WASTE SERVICES,SCRAP SERVICES,
FACILITIES,WASTE SERVICES,SEPTIC SERVICE,
FACILITIES,WASTE SERVICES,SOLID WASTE/RECYCLING,
HR,BACKGROUND CHECKS/DRUG TESTS,DRUG TESTS,
HR,CONTRACT LABOR/STAFFING,FINANCE/ACCOUNTING STAFFING,
HR,CONTRACT LABOR/STAFFING,HEALTHCARE STAFFING,
HR,CONTRACT LABOR/STAFFING,INDUSTRIAL/GENERAL STAFFING,
HR,CONTRACT LABOR/STAFFING,IT STAFFING,
HR,CONTRACT LABOR/STAFFING,ON DEMAND/FREELANCE STAFFING,
HR,CONTRACT LABOR/STAFFING,PROFESSIONAL/TECHNICAL STAFFING,ENGINEERING STAFFING
HR,CONTRACT LABOR/STAFFING,PROFESSIONAL/TECHNICAL STAFFING,LEGAL STAFFING
HR,CONTRACT LABOR/STAFFING,SPECIALTY STAFFING,AGRICULTURE STAFFING
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,ADVANCED EDUCATION
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,EXECUTIVE EDUCATION
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,IT TRAINING
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,LANGUAGE TRAINING
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,LEADERSHIP TRAINING
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,ELEMENTARY/SECONDARY SCHOOL
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,OTHER TRAINING
HR,EMPLOYEE BENEFITS,TRAINING/PROFESSIONAL CERTIFICATION,TECHNICAL/TRADES
HR,EMPLOYEE BENEFITS,EMPLOYER CONTRIBUTIONS,401K
HR,PAYROLL SERVICES,,
HR,RECRUITMENT,,
IT/TELECOM,IT HARDWARE,COMPUTERS AND PERIPHERALS,
IT/TELECOM,IT HARDWARE,DATA/STORAGE,
IT/TELECOM,IT HARDWARE,NETWORKING/ROUTING,
IT/TELECOM,IT HARDWARE,PHONE AND VIDEO CONFERENCING,
IT/TELECOM,IT HARDWARE,TELECOM EQUIPMENT,
IT/TELECOM,IT HARDWARE,VIDEO/BROADCAST EQUIPMENT,
IT/TELECOM,IT SERVICES,IT PROGRAMMING,
IT/TELECOM,IT SERVICES,MANAGED IT SERVICES,
IT/TELECOM,IT SERVICES,SYSTEMS DESIGN,
IT/TELECOM,IT SOFTWARE,,
IT/TELECOM,CLOUD AND HOSTING,,
IT/TELECOM,STAFFING,,
IT/TELECOM,TELECOM,CALL CENTERS,
IT/TELECOM,TELECOM,CELLULAR,
IT/TELECOM,TELECOM,LANDLINE,
IT/TELECOM,TELECOM,SATELLITE,
IT/TELECOM,VAR/RESELLER/PROCUREMENT BROKER,,
LOGISTICS,AIR FREIGHT,,
LOGISTICS,AIRPORT OPERATIONS SERVICES,,
LOGISTICS,COURIER/LAST MILE,,
LOGISTICS,FLEET CARD,,
LOGISTICS,FREIGHT FORWARDING/CUSTOMS,,
LOGISTICS,INTERMODAL/RAIL,,
LOGISTICS,LOGISTICS SERVICES,FREIGHT BILL PAY/AUDIT,
LOGISTICS,LOGISTICS SERVICES,TMS TRANSPORTATION MANAGEMENT SYSTEM,
LOGISTICS,OCEAN,,
LOGISTICS,PIPELINE,CRUDE,
LOGISTICS,PIPELINE,NATURAL GAS,
LOGISTICS,PIPELINE,OTHER PIPELINE,
LOGISTICS,PORT OPERATIONS SERVICES,,
LOGISTICS,POSTAGE,,
LOGISTICS,RAIL OPERATIONS SERVICES,,
LOGISTICS,SMALL PARCEL,,
LOGISTICS,TOWING,,
LOGISTICS,TRUCKING,3PL,
LOGISTICS,TRUCKING,DEDICATED FLEET,TRUCK/TRAILER LEASE
LOGISTICS,TRUCKING,FULL TRUCKLOAD,
LOGISTICS,TRUCKING,LESS THAN TRUCKLOAD LTL,
LOGISTICS,TRUCKING,SPECIALTY TRUCKING,
LOGISTICS,WAREHOUSING,FOOD WAREHOUSING,
LOGISTICS,WAREHOUSING,GENERAL WAREHOUSING,
LOGISTICS,WAREHOUSING,REFRIGERATED WAREHOUSING,
MANUFACTURED ITEMS,CLAY MATERIAL,,
MANUFACTURED ITEMS,GLASS,BLOWN GLASS,
MANUFACTURED ITEMS,GLASS,FLAT GLASS,
MANUFACTURED ITEMS,GLASS,GLASS CONTAINERS,
MANUFACTURED ITEMS,GLASS,OTHER GLASS,
MANUFACTURED ITEMS,MANUFACTURED WOOD PRODUCTS,MILLED WOOD,CUSTOM MILLED WOOD
MANUFACTURED ITEMS,MANUFACTURED WOOD PRODUCTS,PREFABBED HOMES,
MANUFACTURED ITEMS,METAL PARTS,CASTINGS,ALUMINUM CASTINGS
MANUFACTURED ITEMS,METAL PARTS,CASTINGS,NONFERROUS CASTINGS
MANUFACTURED ITEMS,METAL PARTS,CASTINGS,STEEL CASTINGS
MANUFACTURED ITEMS,METAL PARTS,FORGINGS/STAMPINGS,ROLL FORMING
MANUFACTURED ITEMS,METAL PARTS,FORMED PARTS,
MANUFACTURED ITEMS,METAL PARTS,MACHINED PARTS,
MANUFACTURED ITEMS,METAL PARTS,METAL EXTRUSIONS,
MANUFACTURED ITEMS,METAL PARTS,OTHER METAL PARTS,
MANUFACTURED ITEMS,METAL PARTS,SHEET METAL,
MANUFACTURED ITEMS,PETROLEUM PRODUCTS,ASPHALT,
MANUFACTURED ITEMS,PETROLEUM PRODUCTS,ASPHALT SHINGLES,
MANUFACTURED ITEMS,PETROLEUM PRODUCTS,OIL/GREASE,
MANUFACTURED ITEMS,PETROLEUM PRODUCTS,OTHER PRETROLEUM PRODUCTS,
MANUFACTURED ITEMS,PETROLEUM PRODUCTS,REFINED PRODUCTS,
MANUFACTURED ITEMS,PLASTICS PARTS,3D PRINTED PARTS,
MANUFACTURED ITEMS,PLASTICS PARTS,BLOW MOLDED PARTS,
MANUFACTURED ITEMS,PLASTICS PARTS,EXTRUDED PLASTIC PARTS,
MANUFACTURED ITEMS,PLASTICS PARTS,FILM,OTHER FILMS
MANUFACTURED ITEMS,PLASTICS PARTS,INJECTION MOLDED PARTS,
MANUFACTURED ITEMS,PLASTICS PARTS,OTHER PLASTIC PARTS,
MANUFACTURED ITEMS,PLASTICS PARTS,ROTOMOLDED PARTS,
MANUFACTURED ITEMS,PLASTICS PARTS,THERMOFORMED PARTS,
MANUFACTURED ITEMS,PLASTICS PARTS,VACUUM FORMED PARTS,
MANUFACTURED ITEMS,SURGICAL EQUIPMENT,FORCEPS,FORCEP SUPPLIERS
MARKETING,AGENCY/CREATIVE,,
MARKETING,DIGITAL MARKETING,,
MARKETING,DIRECTORY/MAILING LISTS,,
MARKETING,EVENTS/TRADESHOWS,,
MARKETING,LEAD GENERATION,,
MARKETING,MEDIA/ADVERTISING,MUSIC PUBLISHING,
MARKETING,MEDIA/ADVERTISING,RADIO ADVERTISING,
MARKETING,MEDIA/ADVERTISING,TV ADVERTISING,
MARKETING,MEDIA/ADVERTISING,VIDEO/SOUND SERVICES,OTHER SOUND PRODUCTION
MARKETING,MEDIA/ADVERTISING,VIDEO/SOUND SERVICES,OTHER VIDEO/SOUND
MARKETING,MEDIA/ADVERTISING,VIDEO/SOUND SERVICES,POST PRODUCTION
MARKETING,MEDIA/ADVERTISING,VIDEO/SOUND SERVICES,RECORD PRODUCTION/DISTRIBUTION
MARKETING,MEDIA/ADVERTISING,VIDEO/SOUND SERVICES,SOUND STUDIO
MARKETING,MEDIA/ADVERTISING,VIDEO/SOUND SERVICES,VIDEO DISTRIBUTION
MARKETING,MEDIA/ADVERTISING,VIDEO/SOUND SERVICES,VIDEO PRODUCTION
MARKETING,OUT OF HOME,,
MARKETING,PHOTOGRAPHY,,
MARKETING,PRINT/DISPLAYS/DIRECT MAIL,,
MARKETING,PROMOTIONAL PRODUCTS,,
MARKETING,PUBLIC RELATIONS,,
MARKETING,RESEARCH,,
MARKETING,SEO SEARCH ENGINE OPTIMIZATION,,
MARKETING,SIGNAGE,,
MARKETING,SOCIAL MEDIA/INFLUENCER,,
MRO/OEM,ELECTRICAL MRO,ELECTRICAL MATERIALS,
MRO/OEM,GENERAL MRO,HARDWARE AND BUILDING SUPPLIES,HARDWARE & BUILDING SUPPLIES
MRO/OEM,GENERAL MRO,JANSAN/CLEANING,
MRO/OEM,GENERAL MRO,LIGHTING,
MRO/OEM,GENERAL MRO,SAFETY/PPE,
MRO/OEM,GENERAL MRO,TOOLS AND EQUIPMENT,
MRO/OEM,INDUSTRIAL GASES,,
MRO/OEM,INTEGRATED SUPPLY,,
MRO/OEM,MATERIAL HANDLING,CONVEYOR,
MRO/OEM,MATERIAL HANDLING,CRANE,
MRO/OEM,MATERIAL HANDLING,TIRES,
MRO/OEM,MEASUREMENT AND CONTROLS INSTRUMENTS,ELECTRICITY TESTING EQUIPMENT,
MRO/OEM,MEASUREMENT AND CONTROLS INSTRUMENTS,ENVIRONMENTAL CONTROLS,
MRO/OEM,MEASUREMENT AND CONTROLS INSTRUMENTS,FLUID METERS,
MRO/OEM,MEASUREMENT AND CONTROLS INSTRUMENTS,LABORATORY EQUIPMENT,
MRO/OEM,MEASUREMENT AND CONTROLS INSTRUMENTS,MEASURING INSTRUMENTS,
